Gene	Gene_ID	Locus	Gene_Size	Mut_Freq	Muts_per_Mbp	Mean_Gain	Mean_Loss	Num_Lists	fmi_heme_407	chop_heme_211	mayo_heme_42	goal_core_497	tempus_xt_648	pgdx_elio_505	summary
SOCS1	ENSG00000185338	16p13.13	1801	0.46%	2.57	2.7558	1.9450	4	1			1	1	1	A negative regulator of cytokine signaling, is altered in various hematologic malignancies, most frequently in diffuse large B-cell lymphoma.
CIITA	ENSG00000179583	16p13.13	16188	10.07%	6.22	2.7562	1.9457	3	1			1	1		A transcriptional coactivator in immune cells, is recurrently altered by deletion, mutation and chromosomal rearrangement in lymphomas.
CREBBP	ENSG00000005339	16p13.3	10914	15.39%	14.10	2.6691	1.9028	5	1	1		1	1	1	A tumor suppressor and transcriptional co-activator, is frequently inactivated in hematologic malignancies.
CTCF	ENSG00000102974	16q22.1	4683	3.75%	8.00	2.6019	1.8525	5	1	1		1	1	1	A tumor suppressor and chromatin binding factor, is mutated in various cancers, most frequently in endometrial cancer.
IRF8	ENSG00000140968	16q24.1	3872	9.80%	25.30	2.5319	1.8233	2	1			1			A transcription factor, is altered by mutation in a variety of hematopoietic malignancies.
PLCG2	ENSG00000197943	16q24.1	8798	4.59%	5.22	2.5470	1.8284	4	1			1	1	1	Encodes an enzyme involved in transmembrane signaling. Mutations of PLCG2 are associated with autoimmunity and immune dysregulation and resistance to Ibrutinib therapy in patients with CLL.
TP53	ENSG00000141510	17p13.1	3533	39.56%	111.97	2.4377	1.7916	6	1	1	1	1	1	1	A tumor suppressor in the DNA damage pathway, is the most frequently mutated gene in cancer.
PRPF8	ENSG00000174231	17p13.3	7645	7.72%	10.09	2.4688	1.8079	2		1		1			
NF1	ENSG00000196712	17q11.2	14540	19.74%	13.57	2.6758	1.8965	5	1	1		1	1	1	A negative regulator of RAS, is inactivated by mutation or deletion in various solid and hematologic malignancies.
SUZ12	ENSG00000178691	17q11.2	4559	4.13%	9.06	2.6771	1.9055	5	1	1		1	1	1	A component of the polycomb group of transcriptional repressors, is altered in hematologic diseases and sarcomas.
IKZF3	ENSG00000161405	17q12-q21.1	10165	1.97%	1.94	3.2110	1.9145	3	1	1		1			A hematopoietic-specific transcription factor, is altered by mutation and deletion in hematopoietic malignancies.
RARA	ENSG00000131759	17q21.2	4224	1.86%	4.40	2.8236	1.9109	5	1	1		1	1	1	A transcription factor, is altered by mutation or amplification in various solid tumors and is recurrently altered by chromosomal rearrangement in acute promyelocytic leukemia.
STAT3	ENSG00000168610	17q21.2	5057	3.90%	7.71	2.6719	1.9079	5	1	1		1	1	1	A transcription factor, is altered by mutation or amplification in various solid and hematologic malignancies.
STAT5B	ENSG00000173757	17q21.2	5155	3.79%	7.34	2.6729	1.9076	3	1			1	1		A transcription factor, is altered in various solid and hematologic malignancies.
MAP3K14	ENSG00000006062	17q21.31	4717	3.36%	7.13	2.6797	1.9129	1	1						A serine/threonine kinase, is infrequently altered in cancer.
CD79B	ENSG00000007312	17q23.3	1278	0.72%	5.65	2.8801	1.9490	5	1	1		1	1	1	A component of the B-cell antigen receptor, is recurrently altered in diffuse large B-cell lymphoma.
PPM1D	ENSG00000170836	17q23.3	4839	1.50%	3.11	2.9099	1.9461	2				1	1		A protein phosphatase, is altered by mutation in various solid and hematologic malignancies including in therapy-related hematopoietic disorders.
GNA13	ENSG00000120063	17q24.1	6451	2.74%	4.24	2.8542	1.9466	4	1			1	1	1	A guanine nucleotide exchange protein, is recurrently altered by mutation in lymphomas.
SRSF2	ENSG00000161547	17q25.2	2893	0.91%	3.13	2.8207	1.9361	5	1	1	1	1	1		An RNA splicing factor, is frequently mutated in hematological malignancies.
SETBP1	ENSG00000152217	18q12.3	13877	7.89%	5.68	2.5506	1.8409	5	1	1	1	1	1		An epigenetic remodeling protein, is frequently altered by mutation in a range of hematopoietic malignancies.
BCL2	ENSG00000171791	18q21.33	11749	0.84%	0.71	2.5174	1.8218	5	1	1		1	1	1	An anti-apoptotic protein, is frequently altered in non-Hodgkin lymphomas.
JAK3	ENSG00000105639	19p13.11	5854	4.60%	7.86	2.6935	1.9448	5	1	1		1	1	1	A non-receptor tyrosine kinase, is recurrently altered by mutation in hematologic malignancies.
MEF2B	ENSG00000213999	19p13.11	2135	2.92%	13.67	2.7640	1.9538	4	1			1	1	1	A transcriptional activator, is altered by mutation in various hematological malignancies including follicular lymphoma.
KLF2	ENSG00000127528	19p13.11	2832	0.98%	3.47	2.7070	1.9440	1				1			A transcription factor that regulates the activity of NF-κB, is recurrently altered by mutation in splenic marginal zone lymphoma.
CALR	ENSG00000179218	19p13.13	1937	1.13%	5.82	2.6993	1.9331	6	1	1	1	1	1	1	A calcium-binding protein, is altered in various solid and hematologic malignancies including myeloproliferative neoplasms.
SMARCA4	ENSG00000127616	19p13.2	7230	13.06%	18.07	2.6880	1.9299	4	1			1	1	1	A tumor suppressor involved in chromatin remodeling, is recurrently altered in small cell carcinoma of the ovaries, hypercalcemic type (SCCOHT).
DNM2	ENSG00000079805	19p13.2	3860	11.06%	28.65	2.6907	1.9306	4	1	1		1	1		
TYK2	ENSG00000105397	19p13.2	4808	5.93%	12.34	2.6826	1.9284	3	1	1		1			A non-receptor kinase, is infrequently altered by mutation and rearrangement in hematopoietic malignancies.
EPOR	ENSG00000187266	19p13.2	2534	1.69%	6.65	2.6763	1.9305	2		1			1		A cytokine receptor, is recurrently altered by chromosomal rearrangement in familial erythrocytosis and acute lymphoblastic leukemia.
TCF3	ENSG00000071564	19p13.3	5295	3.61%	6.82	2.5393	1.8420	4	1	1		1	1		A transcription factor involved in lymphopoiesis, is altered by mutation or deletion in various cancer types.
RPS15	ENSG00000115268	19p13.3	1303	4.74%	36.37	2.5399	1.8402	2				1	1		
ELANE	ENSG00000197561	19p13.3	1052	0.89%	8.42	2.5489	1.8404	2		1	1				
CEBPA	ENSG00000245848	19q13.11	2605	2.59%	9.95	2.9109	1.9449	6	1	1	1	1	1	1	A tumor suppressor and transcription factor, is recurrently altered by mutation in acute myeloid leukemia.
CD79A	ENSG00000105369	19q13.2	1119	0.62%	5.51	2.7299	1.9220	5	1	1		1	1	1	A component of the B-cell receptor, is altered at low frequencies across various solid and hematologic malignancies.
CBLC	ENSG00000142273	19q13.32	1641	1.43%	8.69	2.7493	1.9196	2				1	1		
U2AF2	ENSG00000063244	19q13.42	3086	6.53%	21.16	2.7604	1.9168	3	1	1		1			An mRNA splicing protein, is altered by mutation in hematopoietic cancers.
ASXL1	ENSG00000171456	20q11.21	8007	5.79%	7.23	3.1480	1.9861	6	1	1	1	1	1	1	A tumor suppressor and epigenetic regulator, is inactivated by mutation in various cancer types, most frequently in myeloid malignancies.
SAMHD1	ENSG00000101347	20q11.23	5711	1.36%	2.38	3.1059	1.9758	0							A deoxynucleoside triphosphate triphosphohydrolase involved in cellular dNTP homeostasis, is recurrently altered by mutation in chronic lymphocytic leukemia.
PLCG1	ENSG00000124181	20q12	7606	4.34%	5.71	3.0912	1.9710	2				1	1		A phospholipase-C signaling molecule, is recurrently mutated in hematologic malignancies.
PTPN1	ENSG00000196396	20q13.13	4081	1.09%	2.67	3.1728	1.9801	0							A tyrosine phosphatase, is recurrently altered by mutation, fusion, deletion, and amplification in a variety of cancer types.
GNAS	ENSG00000087460	20q13.32	10118	3.98%	3.93	3.1853	1.9788	4	1			1	1	1	An intracellular signaling protein, is mutated in various cancers.
RUNX1	ENSG00000159216	21q22.12	8270	1.75%	2.12	2.6310	1.9102	6	1	1	1	1	1	1	A transcription factor involved in hematopoietic differentiation, is altered by mutation or chromosomal rearrangement in various hematologic malignancies.
U2AF1	ENSG00000160201	21q22.3	1898	0.13%	0.71	2.6094	1.8918	6	1	1	1	1	1	1	A splicing factor, is recurrently mutated in hematologic malignancies.
MAPK1	ENSG00000100030	22q11.22	6107	1.32%	2.16	2.6385	1.8793	4	1			1	1	1	Aka ERK2, a serine/threonine kinase, is altered by mutation or amplification in various cancer types including head and neck, cervical and ovarian cancer.
CHEK2	ENSG00000183765	22q12.1	2369	10.79%	45.54	2.5763	1.8575	4	1			1	1	1	A tumor suppressor and intracellular kinase, is altered in various cancer types. Germline mutations of CHEK2 are associated with an increased risk of certain cancers including breast, prostate and colorectal cancers.
SF3A1	ENSG00000099995	22q12.2	5154	14.43%	28.00	2.6044	1.8670	2		1		1			
EP300	ENSG00000100393	22q13.2	8903	11.82%	13.27	2.5508	1.8561	5	1	1		1	1	1	A tumor suppressor and histone acetyltransferase, is inactivated in various cancer types.
SMC1A	ENSG00000072501	Xp11.22	10167	4.06%	3.99	2.6530	1.1781	4	1	1		1	1		An ATPase that functions as a subunit of the cohesin complex, is recurrently mutated in Cornelia de Lange syndromes, hematologic malignancies, and solid tumors.
GATA1	ENSG00000102145	Xp11.23	1516	1.94%	12.77	2.6883	1.1723	6	1	1	1	1	1	1	A transcription factor involved in red blood cell and platelet development, is altered in several hematologic malignancies including transient leukemia and acute megakaryoblastic leukemia.
KDM6A	ENSG00000147050	Xp11.3	6275	6.69%	10.67	2.6469	1.1654	6	1	1	1	1	1	1	A histone demethylase, is altered in various cancer types, most frequently in bladder cancer.
UBA1	ENSG00000130985	Xp11.3	4831	3.14%	6.50	2.6887	1.1690	0							
BCOR	ENSG00000183337	Xp11.4	8766	12.71%	14.50	2.6058	1.1619	6	1	1	1	1	1	1	A transcriptional repressor, is altered in various solid and hematologic malignancies including acute myeloid leukemia.
DDX3X	ENSG00000215301	Xp11.4	9208	6.29%	6.83	2.6083	1.1625	3	1			1	1		An RNA helicase, is recurrently altered by mutations in several cancer types, including medulloblastoma and chronic lymphocytic leukemia.
ZRSR2	ENSG00000169249	Xp22.2	2056	1.14%	5.53	2.6055	1.1498	5	1	1	1	1	1		A splicing factor,  is altered in various hematological malignancies.
PIGA	ENSG00000165195	Xp22.2	3698	1.08%	2.92	2.6092	1.1496	1				1			An enzyme involved in the synthesis of GPI membrane attachments, is recurrently altered in hematologic malignancies.
CRLF2	ENSG00000205755	Xp22.3 and Yp11.3	3200	1.04%	3.25	2.7025	1.7155	4	1	1		1	1		A cytokine receptor, is recurrently altered by chromosomal rearrangement in B-cell acute lymphoblastic leukemia.
MED12	ENSG00000184634	Xq13.1	7158	35.74%	49.94	2.6127	1.1904	4	1			1	1	1	A component of CDK8, a subcomplex involved in transcription initiation. MED12 plays a role in the genesis of benign tumors such as uterine leiomyoma and breast fibroadenoma and is altered in a variety of estrogen-dependent tumors.
ZMYM3	ENSG00000147130	Xq13.1	6585	6.89%	10.46	2.6124	1.1905	3	1			1	1		
ATRX	ENSG00000085224	Xq21.1	11844	15.27%	12.89	2.6060	1.1861	5	1	1		1	1	1	A tumor suppressor involved in transcriptional regulation, is infrequently altered in cancer.
BTK	ENSG00000010671	Xq22.1	3179	1.64%	5.15	2.6165	1.1885	4	1			1	1	1	An intracellular kinase, is overexpressed in B-cell malignancies.
STAG2	ENSG00000101972	Xq25	6797	3.96%	5.82	2.6294	1.1857	6	1	1	1	1	1	1	A component of the cohesin complex, is recurrently altered by mutation in various cancer types,
BCORL1	ENSG00000085185	Xq26.1	7332	17.34%	23.65	2.6222	1.1830	5	1	1		1	1	1	A transcriptional repressor, is recurrently mutated in hematopoietic malignancies, astrocytomas, and intracranial germ cell tumors.
PHF6	ENSG00000156531	Xq26.2	7997	1.22%	1.53	2.6470	1.1825	5	1	1	1	1	1		A chromatin binding protein, is frequently altered by mutation and deletion in a range of hematologic malignancies.
BRCC3	ENSG00000185515	Xq28	3003	0.96%	3.21	2.6741	1.1928	1				1			
RPL10	ENSG00000147403	Xq28	2421	4.67%	19.30	2.6640	1.1952	1		1					
